pool_name,x_reserve,y_reserve
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x79ede1f3fbdbc2a7d6d1ce3b7d14d41a546969afadb9bd57af7a4f42a14c07e4::ZillaCake::ZillaCake>",48863163,467908004525178027
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x79ede1f3fbdbc2a7d6d1ce3b7d14d41a546969afadb9bd57af7a4f42a14c07e4::MasterCake::MasterCake>",411514,2632106021142997
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x7b44839fcbddfbdbdbdf8a371a407e50d00e453f645612c259cbda918aaca30a::PRT__RPDMZL::protonlzpz>",895505,960613076111932
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x7bdf36c27645255ba8180c432c93b47bf23892ed9ffb3705246fa4fb5b96d02b::venaptos::VEN>",51435,864042864923
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x8476ea76ab727dfbfd936528a81a08a7a325427b94725b5ff27e41b317d2fe1d::babyaptosa::BABY>",44045,362539196615
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x84d7aeef42d38a5ffc3ccef853e1b82e4958659d16a7de736a29c55fbbeb0114::staked_aptos_coin::StakedAptosCoin>",10194,10823
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x87ecc8227176a02c32a11d2cbed83f05aa34ec8bd86b56658d4d8d17cea85e71::RC_token::RColatoken>",2092286,95680814
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x87ecc8227176a02c32a11d2cbed83f05aa34ec8bd86b56658d4d8d17cea85e71::moon_coin::MoonCoin>",1163265,860416416
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x881ac202b1f1e6ad4efcff7a1d0579411533f2502417a19211cfc49751ddb5f4::coin::MOJO>",1443764594159,486250783145451
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x8d87a65ba30e09357fa2edea2c80dbac296e5dec2b18287113500b902942929d::celer_coin_manager::BnbCoin>",180186466,3845427
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x8d87a65ba30e09357fa2edea2c80dbac296e5dec2b18287113500b902942929d::celer_coin_manager::BusdCoin>",321,4075
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x8d87a65ba30e09357fa2edea2c80dbac296e5dec2b18287113500b902942929d::celer_coin_manager::UsdcCoin>",4035012657659,250523971992
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x9330d65822b37c6c5cb824c67322fcbf759d675f265a17602b873228efc3660d::PancakeSwap::PancakeSwap>",6056344,28387528230796
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x9c02e98bc08c9c4b2527952353282ea0f8587e8c4a3f123729568dd5fd4d7dc6::eth2::ETH2>",40015,786203775
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x9d6eba9958bf1f52cd29b4d23dbd514709a4c075d7575172605b98c5c0f2369d::CakeKing_coin::CakeKingCoin>",1038693,59689494157
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x9f4c60442f0ee9e4ac82e029ae37fe4bae8450bc014c4fa8d6eed88075b1d269::BabySQY::BabySQY>",40009,151189351164
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0xa269269a1bed73a10791cc40d40dbcf98dd0660d8242be09000c379e2dc80878::aptos_soda::AptosSoda>",65819770,2373569931513
